Letter,Product Name,Link
A,ABAP,https://www.sap.com/uk/products/technology-platform/abap/environment.html
A,ABAP environments,https://www.sap.com/uk/products/technology-platform/abap.html
A,Advanced Event Mesh,https://www.sap.com/uk/products/technology-platform/integration-suite/advanced-event-mesh.html
A,AI Foundation,https://www.sap.com/uk/products/artificial-intelligence/ai-foundation-os.html
A,Career and Talent Development,https://www.sap.com/uk/products/hcm/career-talent-development.html
A,Guided buying,https://www.sap.com/uk/products/spend-management/procure-to-pay/features/guided-buying.html
A,Identity and Access Management,https://www.sap.com/uk/products/financial-management/identity-management.html
A,Joule,https://www.sap.com/uk/products/artificial-intelligence/ai-assistant.html
A,Joule Agents,https://www.sap.com/uk/products/artificial-intelligence/ai-agents.html
A,Joule for developers,https://www.sap.com/uk/products/artificial-intelligence/joule-for-developers.html
A,Joule Studio,https://www.sap.com/uk/products/artificial-intelligence/joule-studio.html
A,PLM System Integration,https://www.sap.com/uk/products/scm/plm-integration.html
A,PostgreSQL on SAP BTP - hyperscaler option,https://www.sap.com/uk/products/technology-platform/postgresql-on-sap-btp-hyperscaler-option.html
A,Procurement expansion package for SAP Cloud ERP | SAP Ariba,https://www.sap.com/uk/products/spend-management/procurement-expansion-package.html
A,Public Sector Procurement Solutions | SAP Ariba,https://www.sap.com/uk/products/spend-management/public-sector-procurement-solutions.html
A,RISE with SAP,https://www.sap.com/uk/products/erp/rise.html
A,SAP 3D Visual Enterprise,https://www.sap.com/uk/products/scm/product-visualization.html
A,SAP Absence and Leave Management,https://www.sap.com/uk/products/hcm/leave-absence-management.html
A,SAP Access Control,https://www.sap.com/uk/products/financial-management/access-control.html
A,SAP Access Violation Management by Pathlock,https://www.sap.com/uk/products/financial-management/access-violation-management.html
A,SAP Account Substantiation and Automation by BlackLine,https://www.sap.com/uk/products/financial-management/account-substantiation-automation-blackline.html
A,SAP Adaptive Server Enterprise,https://www.sap.com/uk/products/data-cloud/sybase-ase.html
A,SAP Advanced Data Migration and Management by Syniti,https://www.sap.com/uk/products/data-cloud/advanced-data-migration-software.html
A,SAP Advanced Financial Closing,https://www.sap.com/uk/products/financial-management/advanced-financial-closing.html
A,SAP Advanced Planning and Optimization,https://www.sap.com/uk/products/scm/advanced-planning-optimization.html
A,SAP Advanced Track and Trace for Pharmaceuticals on SAP S/4HANA,https://www.sap.com/uk/products/scm/track-trace-pharmaceuticals.html
A,SAP Agent Lifecycle Management,https://www.sap.com/uk/products/crm/agent-lifecycle-mgmt.html
A,SAP Agent Performance Management,https://www.sap.com/uk/products/crm/agent-performance-management.html
A,SAP Agricultural Contract Management,https://www.sap.com/uk/products/financial-management/agricultural-contract.html
A,SAP Agricultural Origination Portal,https://www.sap.com/uk/products/scm/agricultural-origination-portal.html
A,SAP Analytics Cloud,https://www.sap.com/uk/products/data-cloud/cloud-analytics.html
A,SAP Application Interface Framework,https://www.sap.com/uk/products/technology-platform/application-interface-mgmt.html
A,SAP Archiving and Document Access by OpenText,https://www.sap.com/uk/products/technology-platform/documents-access-archiving.html
A,SAP Ariba Buying and Invoicing,https://www.sap.com/uk/products/spend-management/procure-to-pay.html
A,SAP Ariba Catalog,https://www.sap.com/uk/products/spend-management/ariba-catalog.html
A,SAP Ariba Category Management,https://www.sap.com/uk/products/spend-management/category-management-software.html
A,SAP Ariba Central Procurement,https://www.sap.com/uk/products/spend-management/centralized-procurement.html
A,SAP Ariba Contracts,https://www.sap.com/uk/products/spend-management/contract-management-software.html
