Letter,Product Name,Link,Description
A,ABAP,https://www.sap.com/uk/products/technology-platform/abap/environment.html,SAP BTP ABAP environment is the Platform-as-a-Service for ABAP developers. A cloud-optimised ABAP platform based on SAP HANA serves as a development and runtime environment for cloud apps utilising the service framework of SAP Business Technology Platform.
A,ABAP environments,https://www.sap.com/uk/products/technology-platform/abap.html,SAP BTP ABAP environment is the Platform-as-a-Service for ABAP developers. A cloud-optimised ABAP platform based on SAP HANA serves as a development and runtime environment for cloud apps utilising the service framework of SAP Business Technology Platform.
A,Advanced Event Mesh,https://www.sap.com/uk/products/technology-platform/integration-suite/advanced-event-mesh.html,Adopt scalable event-driven process integration patterns and support peak loads across environments.
A,AI Foundation,https://www.sap.com/uk/products/artificial-intelligence/ai-foundation-os.html,Accelerate AI-driven innovation with SAP's foundational AI operating system. Build and extend AI solutions or run and orchestrate business AI workload at scale.
A,Career and Talent Development,https://www.sap.com/uk/products/hcm/career-talent-development.html,Talent development transforms organisations by upskilling employees to boost productivity. Explore career pathing and AI talent tools for internal mobility.
A,Guided buying,https://www.sap.com/uk/products/spend-management/procure-to-pay/features/guided-buying.html,See how the guided buying capability from SAP offers a simple way to buy from preferred suppliers while complying with procurement processes and policies.
A,Identity and Access Management,https://www.sap.com/uk/products/financial-management/identity-management.html,"Manage user identities, control access, and unify authentication seamlessly across cloud and hybrid systems with SAP identity and access management solutions."
A,Joule,https://www.sap.com/uk/products/artificial-intelligence/ai-assistant.html,"Joule is an AI solution that helps teams act with clarity and collaborate without silos. With AI agents for all core functions, powered by SAP business process expertise, your AI strategy scales faster and wider."
A,Joule Agents,https://www.sap.com/uk/products/artificial-intelligence/ai-agents.html,Discover how to drive productivity at enterprise scale with Joule Agents—ready-to-use AI agents that automate complex workflows with trusted SAP intelligence.
A,Joule for developers,https://www.sap.com/uk/products/artificial-intelligence/joule-for-developers.html,SAP Joule for Developers helps developers supercharge application development and automation with AI capabilities in SAP Build.
A,Joule Studio,https://www.sap.com/uk/products/artificial-intelligence/joule-studio.html,"Build, deploy, and manage AI agents and Joule skills intuitively with drag-and-drop simplicity to improve solve business challenges and improve efficiency."
A,PLM System Integration,https://www.sap.com/uk/products/scm/plm-integration.html,"Explore benefits, capabilities, and technical information for ERP and PLM integration."
A,PostgreSQL on SAP BTP - hyperscaler option,https://www.sap.com/uk/products/technology-platform/postgresql-on-sap-btp-hyperscaler-option.html,"Secure and scalable managed PostgreSQL service on hyperscalers for SAP BTP, with high availability, fault tolerance, and flexible database scaling."
A,Procurement expansion package for SAP Cloud ERP | SAP Ariba,https://www.sap.com/uk/products/spend-management/procurement-expansion-package.html,"Streamline P2P with an SAP Business Suite package that includes purchasing and fulfilment, catalogue management, and supplier collaboration capabilities."
A,Public Sector Procurement Solutions | SAP Ariba,https://www.sap.com/uk/products/spend-management/public-sector-procurement-solutions.html,Explore SAP Ariba public sector procurement software and solutions that simplify and inform the buying process from research to purchase.
A,RISE with SAP,https://www.sap.com/uk/products/erp/rise.html,"Discover SAP Rise, the all-in-one cloud ERP solution, enabling business growth and innovation. Elevate your business with SAP's forward-thinking technology."
